title,location,responsibilities,ntile10,ntile25,ntile50,ntile75,ntile90
Data Scientist,"Norfolk, VA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96666,108453,121400,134116,145694
Data Scientist,"Fremont, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,128593,144274,161496,178413,193816
Data Scientist,"Garland, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101775,114185,127816,141205,153395
Data Scientist,"Irving, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101994,114431,128091,141509,153725
Data Scientist,"Hialeah, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99171,111263,124545,137592,149470
Data Scientist,"Richmond, VA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,102435,114926,128645,142121,154390
Data Scientist,"Boise, ID",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,95605,107263,120068,132645,144096
Data Scientist,"Spokane, WA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,98965,111033,124288,137307,149160
Data Scientist,"Baton Rouge, LA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,95454,107094,119878,132436,143869
Data Scientist,"Tacoma, WA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,108864,122139,136719,151040,164079
Data Scientist,"San Bernardino, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109369,122705,137353,151741,164841
Data Scientist,"Modesto, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,108965,122251,136845,151180,164231
Data Scientist,"Fontana, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109827,123219,137928,152376,165531
Data Scientist,"Des Moines, IA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99142,111231,124509,137552,149426
Data Scientist,"Moreno Valley, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109745,123127,137825,152263,165407
Data Scientist,"Santa Clarita, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114457,128414,143743,158800,172509
Data Scientist,"Fayetteville, NC",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,94202,105689,118305,130698,141981
Data Scientist,"Birmingham, AL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,97200,109052,122070,134857,146499
Data Scientist,"Oxnard, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,110053,123472,138212,152690,165871
